id,reason,name,image_url,아이웨어,자세,방향,강조부위,머리색,머리 다중색,눈색,수인특징
101160,충돌,벤슨,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101160%2Fpainting.png,없음,서기,정면,겨드랑이,금발,단색,갈색,동물귀
101161,충돌,핼러윈 토끼 미소녀!,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101161%2Fpainting.png,없음,서기,후면,없음,금발,단색,금색,동물귀
101170,충돌,라피,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101170%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101172,충돌,눈토끼와 사과 사탕,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101172%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101173,충돌,봄을 기다리는 토끼,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101173%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,은발·백발,단색,적색,동물귀
101174,충돌,토끼 직원?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101174%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101175,충돌,피크닉 해프닝?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101175%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,보라,단색,분홍,동물귀
101176,충돌,토끼 아이돌・나른나른,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101176%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101177,충돌,대청소의 시작과 끝,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101177%2Fpainting.png,없음,눕기,정면,발바닥,은발·백발,단색,적색,없음
101178,충돌,토끼와 서약,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101178%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
101179,충돌,라피·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101179%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101250,충돌,허먼,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101250%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,청색,"동물귀, 꼬리"
101251,충돌,새침데기 섬머,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101251%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,청색,동물귀
101252,충돌,무도회의 새침한 요정,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101252%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,청색,없음
101253,충돌,냥냥 아이돌 펀치!,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101253%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,청색,"동물귀, 꼬리"
101254,충돌,성야의 서프라이즈!,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101254%2Fpainting.png,없음,눕기,정면,발바닥,은발·백발,단색,청색,없음
101255,충돌,Blushing Fellow,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101255%2Fpainting.png,없음,서기,후면,없음,은발·백발,단색,녹색,없음
101259,충돌,허먼·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101259%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,청색,동물귀
101260,충돌,엘드릿지,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101260%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,금발,단색,적색,없음
101261,충돌,성야의 포옹,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101261%2Fpainting.png,없음,앉기·무릎꿇기,정면,겨드랑이,금발,단색,분홍,없음
101262,충돌,빈 교실의 불가사의,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101262%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
101263,충돌,정월의 손길,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101263%2Fpainting.png,안경,서기,정면,없음,금발,단색,분홍,없음
101264,충돌,냥냥 아이돌?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101264%2Fpainting.png,없음,서기,정면,없음,금발,단색,분홍,"동물귀, 꼬리"
101265,충돌,우주 추석,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101265%2Fpainting.png,없음,서기,정면,없음,금발,단색,분홍,없음
101266,충돌,오늘도 착한 아이의 방과후,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101266%2Fpainting.png,없음,서기,정면,없음,금발,단색,적색,없음
101268,충돌,한낮의 포레스트 채플,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101268%2Fpainting.png,없음,눕기,정면,없음,금발,단색,보라,없음
101269,충돌,엘드릿지·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101269%2Fpainting.png,없음,서기,정면,없음,금발,단색,적색,없음
101270,충돌,베일리,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101270%2Fpainting.png,없음,서기,정면,없음,적발,단색,적색,없음
101271,충돌,장난스러운 베일리,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101271%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,적발,단색,적색,없음
101272,충돌,토끼토끼 산타!,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101272%2Fpainting.png,없음,서기,후면,없음,적발,단색,갈색,없음
101279,충돌,베일리·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101279%2Fpainting.png,없음,서기,정면,없음,적발,단색,적색,없음
101290,충돌,래드포드,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101290%2Fpainting.png,없음,서기,정면,없음,분홍,단색,청색,없음
101291,충돌,Candy Magic！,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101291%2Fpainting.png,없음,서기,후면,없음,분홍,단색,청색,동물귀
101300,충돌,젠킨스,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101300%2Fpainting.png,없음,서기,정면,겨드랑이,금발,단색,적색,없음
101301,충돌,별빛과 흰눈의 이브,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101301%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,금발,단색,금색,없음
101310,충돌,니콜라스,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101310%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,없음
101311,충돌,니콜너스,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101311%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,없음
101312,충돌,미스 패키징?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101312%2Fpainting.png,없음,눕기,정면,발바닥,은발·백발,단색,오드아이,없음
101313,충돌,여름 청소 운동,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101313%2Fpainting.png,없음,서기,후면,없음,은발·백발,단색,오드아이,없음
101314,충돌,방과후의 서프라이즈?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101314%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,없음
101319,충돌,니콜라스·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101319%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,오드아이,없음
101350,충돌,배시,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101350%2Fpainting.png,없음,서기,정면,없음,금발,단색,보라,없음
101351,충돌,럭셔리 스피드 스타,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101351%2Fpainting.png,선글라스,앉기·무릎꿇기,정면,발바닥,금발,단색,보라,없음
101352,충돌,눈부신 경기장의 별,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101352%2Fpainting.png,고글,서기,정면,겨드랑이,금발,단색,금색,없음
101360,충돌,하비,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101360%2Fpainting.png,없음,서기,정면,발바닥,은발·백발,단색,분홍,없음
101361,충돌,리틀 스쿨 스타,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101361%2Fpainting.png,없음,서기,정면,없음,은발·백발,그라데이션,보라,동물귀
101370,충돌,커크,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101370%2Fpainting.png,없음,서기,정면,없음,금발,브릿지,청색,없음
101371,충돌,학원의 눈꽃 요정,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101371%2Fpainting.png,없음,서기,정면,없음,금발,그라데이션,청색,없음
101400,충돌,아일윈,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101400%2Fpainting.png,없음,서기,후면,없음,분홍,단색,적색,없음
101401,충돌,일요일의 아쿠아리움,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101401%2Fpainting.png,없음,서기,정면,없음,분홍,그라데이션,적색,없음
101420,충돌,스몰리,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101420%2Fpainting.png,없음,서기,정면,없음,금발,단색,청색,없음
101421,충돌,위치 딜리버리,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101421%2Fpainting.png,없음,기타,정면,없음,금발,단색,청색,"뿔, 날개"
101440,충돌,쿠퍼,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101440%2Fpainting.png,없음,서기,정면,없음,흑발,단색,분홍,없음
101441,충돌,뜨거운 테니스장,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101441%2Fpainting.png,없음,서기,정면,없음,흑발,단색,분홍,없음
101442,충돌,성야의 따뜻한 선물,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101442%2Fpainting.png,없음,앉기·무릎꿇기,후면,발바닥,흑발,단색,적색,없음
101450,충돌,알렌 M. 섬너,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101450%2Fpainting.png,없음,서기,정면,겨드랑이,흑발,단색,적색,없음
101451,충돌,Charming Rabbit,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101451%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,흑발,단색,적색,동물귀
101452,충돌,트윈 페이스 미스틱,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101452%2Fpainting.png,안대,서기,후면,없음,청발,단색,적색,없음
101460,충돌,스테판 포터,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101460%2Fpainting.png,없음,서기,정면,발바닥,금발,단색,청색,없음
101461,충돌,느긋한 핑크 바니,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101461%2Fpainting.png,없음,눕기,정면,없음,금발,단색,보라,없음
101470,충돌,모리슨,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101470%2Fpainting.png,없음,서기,정면,없음,갈색,단색,금색,없음
101471,충돌,Sleeping Bunny,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101471%2Fpainting.png,없음,엎드리기,후면,발바닥,금발,단색,금색,동물귀
101472,충돌,하이테크? 인술?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101472%2Fpainting.png,없음,앉기·무릎꿇기,후면,없음,금발,단색,금색,없음
101480,충돌,잉그레이엄,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101480%2Fpainting.png,안경,앉기·무릎꿇기,정면,없음,갈색,단색,적색,없음
101481,충돌,음료 연구원?,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101481%2Fpainting.png,안경,앉기·무릎꿇기,정면,없음,흑발,단색,적색,없음
101490,충돌,브리스톨,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101490%2Fpainting.png,없음,서기,정면,없음,흑발,단색,금색,없음
101491,충돌,이스트 글림의 괴담,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101491%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,갈색,단색,금색,없음
101492,충돌,토플리스 인베스티게이터,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101492%2Fpainting.png,없음,서기,정면,발바닥,흑발,브릿지,금색,없음
101500,충돌,허먼Ⅱ,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101500%2Fpainting.png,없음,서기,후면,없음,은발·백발,단색,녹색,없음
101501,충돌,다시 찾아온 여름의 전쟁,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101501%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,은발·백발,단색,청색,없음
101502,충돌,허먼의 맛있는 마법,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101502%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,은발·백발,단색,청색,동물귀
101510,충돌,라피Ⅱ,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101510%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,없음
101511,충돌,꾸벅꾸벅 바쁜 날,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101511%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
101512,충돌,토끼토끼성 성주의 순찰 휴식,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101512%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,동물귀
101520,충돌,벨,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101520%2Fpainting.png,없음,서기,정면,없음,흑발,단색,보라,없음
101521,충돌,살룬 엑시던트,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101521%2Fpainting.png,없음,서기,정면,없음,흑발,단색,은색·회색,없음
101530,충돌,밀러,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101530%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,뿔
101531,충돌,괴인 실험체 M01,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101531%2Fpainting.png,없음,거꾸로,정면,발바닥,은발·백발,단색,적색,"동물귀, 꼬리"
102050,충돌,헬레나,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F102050%2Fpainting.png,없음,서기,후면,발바닥,청발,그라데이션,보라,없음
102051,충돌,파랑새의 정월,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F102051%2Fpainting.png,없음,서기,정면,없음,청발,그라데이션,보라,없음
102052,충돌,지휘관과의 춤,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F102052%2Fpainting.png,없음,서기,정면,없음,청발,그라데이션,보라,없음
102053,충돌,광휘의 트라이앵글 웨이브,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F102053%2Fpainting.png,없음,서기,정면,겨드랑이,청발,그라데이션,분홍,없음
102054,충돌,편백욕조와 따뜻한 시간,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F102054%2Fpainting.png,없음,서기,후면,없음,청발,그라데이션,분홍,없음
