클뜯 id,아이웨어,자세,방향,강조부위,머리색,머리 다중색,눈색,수인특징
102091,없음,앉기·무릎꿇기,정면,없음,금발,단색,적색,"뿔, 날개"
102092,없음,서기,정면,없음,금발,단색,적색,없음
102093,없음,서기,정면,없음,금발,단색,적색,없음
102094,없음,서기,정면,없음,금발,단색,적색,없음
102095,없음,서기,정면,없음,금발,단색,적색,없음
102096,없음,서기,정면,없음,금발,단색,적색,없음
102097,없음,앉기·무릎꿇기,정면,다리·발,금발,단색,적색,동물귀
102098,없음,서기,정면,없음,금발,단색,적색,없음
102100,선글라스,서기,정면,없음,금발,단색,분홍,없음
102101,없음,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
102102,없음,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
102110,없음,앉기·무릎꿇기,정면,없음,금발,브릿지,청색,없음
102120,없음,서기,정면,없음,적발,그라데이션,금색,없음
102121,없음,앉기·무릎꿇기,정면,없음,적발,그라데이션,적색,없음
102122,선글라스,앉기·무릎꿇기,정면,없음,적발,그라데이션,적색,없음
102123,없음,앉기·무릎꿇기,후면,엉덩이,적발,단색,적색,없음
102124,없음,서기,후면,없음,적발,그라데이션,적색,없음
102130,없음,서기,정면,없음,청발,단색,보라,없음
102131,없음,앉기·무릎꿇기,정면,다리·발,청발,단색,분홍,없음
102132,없음,앉기·무릎꿇기,정면,다리·발,청발,그라데이션,분홍,없음
102133,없음,앉기·무릎꿇기,정면,다리·발,청발,단색,보라,없음
102134,선글라스,엎드리기,정면,엉덩이,청발,단색,분홍,없음
102140,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
102141,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
102142,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,없음
102143,없음,눕기,정면,없음,은발·백발,단색,적색,없음
102150,없음,서기,정면,없음,은발·백발,단색,청색,없음
102151,없음,눕기,정면,다리·발,은발·백발,단색,청색,없음
102160,없음,서기,정면,없음,분홍,단색,녹색,없음
102161,없음,서기,정면,없음,분홍,단색,녹색,없음
102162,없음,앉기·무릎꿇기,정면,없음,분홍,단색,녹색,없음
102163,없음,앉기·무릎꿇기,정면,없음,분홍,단색,녹색,없음
102180,없음,앉기·무릎꿇기,정면,다리·발,금발,단색,적색,없음
102181,없음,앉기·무릎꿇기,정면,없음,금발,단색,적색,없음
102182,없음,앉기·무릎꿇기,정면,다리·발,금발,단색,적색,없음
102190,없음,앉기·무릎꿇기,정면,없음,청발,그라데이션,분홍,없음
102200,없음,서기,정면,없음,금발,단색,적색,없음
102210,없음,기타,정면,없음,적발,단색,청색,없음
102220,없음,서기,정면,없음,금발,단색,금색,없음
102221,없음,앉기·무릎꿇기,후면,없음,금발,단색,금색,없음
102230,없음,서기,정면,없음,적발,단색,적색,없음
102231,없음,서기,정면,없음,적발,단색,적색,없음
102232,없음,서기,정면,없음,적발,단색,금색,없음
102233,고글,기타,정면,없음,적발,단색,적색,없음
102234,없음,서기,정면,없음,적발,단색,적색,없음
102240,없음,서기,정면,없음,금발,단색,적색,없음
102250,없음,서기,정면,없음,보라,단색,보라,없음
102251,없음,앉기·무릎꿇기,정면,없음,보라,단색,보라,없음
102252,없음,앉기·무릎꿇기,정면,없음,청발,단색,청색,없음
102253,없음,서기,후면,없음,보라,단색,보라,없음
102254,없음,앉기·무릎꿇기,정면,없음,청발,그라데이션,청색,없음
102260,없음,서기,정면,없음,은발·백발,단색,보라,없음
102261,없음,서기,정면,없음,은발·백발,단색,보라,없음
102262,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,보라,없음
102263,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,보라,없음
102264,없음,서기,후면,없음,은발·백발,단색,보라,없음
102270,없음,서기,정면,없음,금발,브릿지,청색,없음
102271,없음,서기,정면,엉덩이,금발,브릿지,청색,없음
102272,없음,서기,후면,엉덩이,금발,단색,청색,없음
102273,없음,앉기·무릎꿇기,정면,다리·발,금발,브릿지,청색,없음
102274,없음,서기,정면,없음,금발,브릿지,청색,없음
102290,없음,기타,정면,없음,청발,단색,금색,없음
102291,없음,앉기·무릎꿇기,정면,없음,청발,단색,금색,동물귀
102292,없음,앉기·무릎꿇기,정면,없음,청발,그라데이션,금색,없음
102293,없음,서기,정면,없음,청발,단색,금색,없음
102294,없음,엎드리기,정면,가슴,청발,단색,금색,없음
102310,없음,서기,후면,없음,보라,그라데이션,녹색,없음
102311,없음,앉기·무릎꿇기,정면,없음,보라,단색,녹색,동물귀
102320,없음,서기,후면,없음,청발,단색,금색,없음
102330,없음,기타,정면,없음,은발·백발,단색,녹색,없음
102331,없음,앉기·무릎꿇기,정면,가슴,은발·백발,단색,녹색,없음
102340,없음,서기,후면,엉덩이,은발·백발,그라데이션,청색,없음
102341,안대,앉기·무릎꿇기,정면,없음,보라,단색,청색,동물귀
102350,없음,서기,정면,없음,분홍,단색,보라,없음
102351,없음,엎드리기,정면,엉덩이,분홍,브릿지,보라,"동물귀, 꼬리"
103010,없음,서기,정면,없음,분홍,단색,적색,없음
103020,없음,앉기·무릎꿇기,정면,없음,녹발,단색,녹색,없음
103030,없음,서기,정면,없음,보라,그라데이션,녹색,없음
103040,없음,서기,정면,없음,금발,단색,청색,없음
103050,없음,서기,정면,없음,분홍,단색,녹색,없음
103060,없음,서기,정면,없음,은발·백발,단색,청색,없음
103061,없음,기타,정면,다리·발,은발·백발,단색,청색,없음
103069,없음,기타,정면,없음,은발·백발,단색,청색,없음
103070,없음,앉기·무릎꿇기,정면,없음,분홍,단색,청색,없음
103071,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,뿔
103072,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,없음
103080,없음,서기,정면,없음,금발,단색,보라,없음
103081,없음,서기,정면,없음,금발,단색,보라,없음
103082,없음,앉기·무릎꿇기,정면,없음,금발,단색,청색,동물귀
103090,없음,서기,정면,없음,분홍,단색,보라,없음
103091,없음,앉기·무릎꿇기,정면,없음,분홍,단색,갈색,없음
103100,없음,서기,정면,없음,은발·백발,단색,청색,없음
103101,없음,엎드리기,정면,없음,청발,단색,청색,없음
103102,없음,서기,정면,없음,청발,단색,청색,없음
103110,없음,기타,정면,없음,적발,단색,적색,없음
103111,없음,서기,정면,없음,적발,단색,적색,없음
103112,없음,앉기·무릎꿇기,정면,없음,적발,단색,적색,날개
103120,없음,서기,정면,없음,은발·백발,그라데이션,청색,없음
103121,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,청색,동물귀
103130,없음,거꾸로,정면,없음,은발·백발,단색,적색,없음
103131,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,적색,없음
103132,없음,기타,정면,다리·발,은발·백발,단색,적색,없음
103133,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,보라,날개
103138,없음,서기,후면,없음,은발·백발,단색,보라,없음
103140,없음,서기,정면,없음,은발·백발,단색,분홍,없음
103141,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,보라,동물귀
103142,없음,기타,정면,다리·발,흑발,브릿지,적색,없음
103160,없음,서기,정면,없음,갈색,단색,금색,없음
103161,없음,서기,정면,없음,갈색,단색,금색,없음
103162,없음,서기,정면,없음,갈색,단색,금색,없음
103163,없음,서기,정면,없음,갈색,단색,금색,없음
103164,없음,서기,정면,없음,갈색,단색,금색,없음
103165,없음,앉기·무릎꿇기,정면,없음,갈색,단색,금색,없음
103168,없음,서기,정면,없음,갈색,단색,녹색,없음
103240,고글,서기,정면,없음,분홍,브릿지,분홍,없음
103241,없음,앉기·무릎꿇기,정면,없음,분홍,단색,분홍,없음
103242,없음,서기,정면,없음,분홍,그라데이션,보라,없음
103243,없음,서기,정면,없음,분홍,브릿지,분홍,없음
103244,없음,앉기·무릎꿇기,정면,없음,분홍,단색,보라,없음
103245,선글라스,앉기·무릎꿇기,정면,가슴,분홍,브릿지,분홍,없음
103248,없음,서기,후면,없음,분홍,그라데이션,적색,없음
103250,없음,서기,정면,없음,흑발,단색,금색,없음
103260,없음,서기,정면,없음,흑발,브릿지,녹색,없음
103261,고글,앉기·무릎꿇기,정면,없음,흑발,그라데이션,녹색,없음
103262,없음,눕기,정면,없음,흑발,기타,녹색,없음
103270,없음,서기,정면,없음,보라,단색,청색,없음
103271,없음,서기,정면,없음,보라,단색,청색,동물귀
103280,없음,서기,정면,없음,흑발,단색,적색,없음
103281,없음,앉기·무릎꿇기,정면,없음,보라,단색,적색,없음
103290,고글,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
104010,없음,앉기·무릎꿇기,정면,없음,은발·백발,그라데이션,청색,없음
104011,없음,서기,정면,없음,은발·백발,단색,보라,동물귀
105010,없음,서기,정면,없음,금발,단색,금색,없음
105011,없음,앉기·무릎꿇기,정면,다리·발,금발,단색,금색,없음
105019,없음,서기,정면,없음,금발,단색,금색,없음
105020,없음,서기,정면,없음,금발,단색,청색,없음
105021,안대,서기,정면,없음,은발·백발,단색,청색,없음
105029,없음,서기,정면,없음,금발,단색,청색,없음
105030,없음,서기,정면,없음,갈색,단색,녹색,없음
105031,없음,기타,정면,없음,흑발,기타,녹색,없음
105040,없음,앉기·무릎꿇기,후면,없음,흑발,단색,녹색,없음
105041,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,녹색,없음
105070,없음,서기,정면,없음,금발,단색,청색,없음
105080,없음,서기,정면,없음,금발,단색,청색,없음
105090,없음,서기,정면,없음,은발·백발,단색,적색,없음
105092,없음,서기,정면,없음,은발·백발,단색,적색,없음
105093,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,갈색,없음
105099,없음,서기,정면,없음,은발·백발,단색,분홍,없음
105100,없음,서기,정면,없음,적발,단색,적색,없음
105102,없음,앉기·무릎꿇기,정면,없음,적발,단색,적색,없음
105109,없음,서기,정면,없음,적발,단색,적색,없음
105110,없음,서기,정면,없음,흑발,그라데이션,적색,없음
105112,없음,서기,정면,없음,흑발,단색,분홍,없음
105119,없음,서기,정면,없음,흑발,단색,적색,없음
105120,없음,서기,정면,없음,금발,단색,청색,없음
105121,없음,눕기,정면,없음,금발,단색,청색,동물귀
105122,없음,엎드리기,정면,엉덩이,금발,단색,청색,없음
105130,없음,서기,정면,없음,은발·백발,단색,청색,없음
105131,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,청색,없음
105132,없음,앉기·무릎꿇기,정면,엉덩이,은발·백발,단색,청색,없음
105140,없음,앉기·무릎꿇기,정면,없음,흑발,단색,금색,없음
105141,없음,앉기·무릎꿇기,후면,없음,흑발,단색,금색,없음
105150,없음,서기,정면,없음,은발·백발,단색,청색,없음
105151,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,청색,없음
105170,없음,서기,정면,없음,은발·백발,단색,보라,없음
105171,없음,서기,후면,엉덩이,은발·백발,단색,청색,동물귀
105172,없음,엎드리기,후면,엉덩이,청발,그라데이션,청색,없음
105173,없음,서기,정면,없음,청발,그라데이션,청색,없음
105174,없음,앉기·무릎꿇기,정면,다리·발,청발,단색,청색,없음
105178,없음,서기,후면,없음,청발,그라데이션,청색,동물귀
105190,없음,서기,정면,없음,은발·백발,기타,청색,없음
105191,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,금색,없음
105200,없음,기타,정면,없음,은발·백발,단색,적색,없음
105201,없음,앉기·무릎꿇기,후면,엉덩이,은발·백발,단색,적색,없음
105202,없음,서기,정면,엉덩이,은발·백발,단색,적색,없음
106010,없음,서기,정면,없음,갈색,단색,청색,없음
106011,없음,앉기·무릎꿇기,정면,다리·발,갈색,단색,청색,없음
106013,없음,앉기·무릎꿇기,정면,없음,보라,단색,청색,없음
106014,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,청색,없음
106015,없음,앉기·무릎꿇기,정면,없음,갈색,단색,청색,없음
106019,없음,서기,정면,없음,갈색,단색,보라,없음
106020,없음,기타,정면,없음,금발,단색,청색,없음
106029,없음,서기,후면,엉덩이,금발,단색,청색,없음
106550,없음,서기,정면,없음,은발·백발,단색,보라,없음
106551,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,보라,없음
107010,안경,서기,정면,없음,녹발,단색,갈색,없음
107019,안경,서기,정면,없음,녹발,단색,갈색,없음
107020,없음,눕기,정면,없음,분홍,단색,보라,없음
107021,없음,앉기·무릎꿇기,정면,다리·발,분홍,단색,보라,없음
107030,없음,서기,정면,없음,분홍,단색,보라,없음
107031,없음,서기,정면,없음,분홍,단색,보라,없음
107032,없음,서기,후면,없음,분홍,단색,보라,없음
107033,없음,서기,정면,없음,분홍,단색,보라,없음
107034,없음,서기,정면,없음,분홍,단색,보라,없음
107035,없음,서기,정면,없음,분홍,단색,보라,없음
107036,없음,서기,정면,없음,분홍,단색,보라,없음
107037,없음,앉기·무릎꿇기,정면,없음,분홍,단색,보라,없음
107038,없음,서기,정면,없음,분홍,단색,보라,없음
107039,없음,서기,정면,없음,분홍,단색,보라,없음
107040,없음,서기,정면,없음,분홍,단색,보라,없음
107049,없음,기타,정면,가슴,분홍,단색,청색,없음
107050,없음,서기,정면,없음,은발·백발,단색,청색,없음
107051,없음,서기,정면,없음,은발·백발,단색,청색,없음
107052,없음,서기,정면,없음,은발·백발,단색,청색,없음
107058,없음,서기,후면,없음,은발·백발,단색,청색,없음
107060,없음,서기,정면,없음,은발·백발,단색,보라,없음
107061,없음,서기,정면,없음,은발·백발,단색,보라,없음
107062,없음,서기,정면,없음,은발·백발,단색,보라,없음
107063,선글라스,서기,정면,없음,은발·백발,단색,보라,없음
107064,없음,서기,후면,없음,은발·백발,단색,보라,없음
107065,없음,서기,정면,없음,은발·백발,단색,보라,없음
107066,없음,서기,후면,엉덩이,은발·백발,단색,보라,없음
107067,선글라스,서기,후면,없음,은발·백발,단색,보라,없음
107068,없음,서기,정면,없음,은발·백발,단색,보라,없음
107070,없음,서기,정면,없음,금발,단색,녹색,없음
107071,없음,서기,정면,없음,금발,단색,녹색,없음
107072,없음,앉기·무릎꿇기,정면,없음,금발,단색,녹색,없음
107073,없음,기타,정면,없음,금발,단색,녹색,없음
107080,없음,서기,정면,없음,금발,단색,녹색,없음
107090,없음,서기,정면,없음,은발·백발,그라데이션,갈색,없음
107091,없음,앉기·무릎꿇기,정면,없음,청발,단색,금색,없음
107092,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,금색,없음
107093,없음,서기,정면,없음,청발,그라데이션,금색,없음
107094,없음,서기,정면,없음,보라,단색,금색,없음
107095,없음,앉기·무릎꿇기,정면,없음,청발,단색,적색,없음
107096,없음,서기,정면,없음,청발,단색,갈색,없음
107097,없음,앉기·무릎꿇기,정면,다리·발,청발,그라데이션,금색,없음
107099,없음,서기,정면,없음,은발·백발,단색,금색,없음
107100,없음,기타,정면,없음,은발·백발,단색,청색,없음
107101,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,청색,없음
107102,없음,앉기·무릎꿇기,정면,엉덩이,은발·백발,단색,청색,"동물귀, 꼬리"
107103,없음,눕기,정면,다리·발,은발·백발,단색,청색,동물귀
107110,없음,서기,정면,없음,은발·백발,단색,보라,없음
107111,없음,서기,정면,다리·발,보라,단색,청색,없음
107120,없음,기타,정면,없음,금발,단색,녹색,없음
107121,없음,엎드리기,후면,엉덩이,금발,단색,녹색,없음
107130,고글,서기,정면,없음,분홍,브릿지,보라,없음
107131,없음,서기,정면,없음,분홍,브릿지,보라,없음
107140,없음,서기,정면,없음,은발·백발,단색,청색,없음
107141,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,청색,동물귀
107142,없음,앉기·무릎꿇기,정면,없음,은발·백발,그라데이션,청색,없음
107160,없음,서기,정면,없음,분홍,단색,보라,없음
107161,없음,엎드리기,후면,엉덩이,분홍,단색,분홍,없음
107170,없음,서기,정면,없음,금발,단색,적색,없음
107171,없음,앉기·무릎꿇기,정면,없음,금발,단색,금색,없음
107220,없음,서기,정면,없음,갈색,단색,적색,없음
107221,없음,서기,정면,없음,갈색,단색,적색,없음
107222,없음,서기,정면,없음,흑발,단색,적색,없음
107223,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,적색,없음
107224,없음,서기,정면,없음,흑발,단색,적색,없음
107225,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,적색,없음
107229,없음,서기,정면,없음,갈색,단색,적색,없음
107230,없음,서기,정면,없음,분홍,단색,분홍,없음
107231,없음,앉기·무릎꿇기,정면,없음,분홍,단색,적색,없음
107232,없음,서기,정면,없음,분홍,그라데이션,적색,없음
107233,없음,앉기·무릎꿇기,정면,없음,분홍,단색,적색,없음
107250,없음,서기,정면,없음,적발,단색,금색,동물귀
107251,없음,서기,정면,가슴,갈색,단색,금색,"뿔, 동물귀"
107270,안경,서기,후면,엉덩이,은발·백발,단색,갈색,없음
107271,안경,서기,정면,없음,녹발,단색,금색,없음
107290,없음,서기,정면,없음,금발,단색,청색,없음
107291,없음,서기,정면,없음,금발,단색,청색,"동물귀, 꼬리"
107300,없음,서기,정면,없음,은발·백발,단색,보라,없음
107301,없음,서기,후면,엉덩이,은발·백발,단색,보라,"동물귀, 꼬리"
107380,안경,서기,정면,없음,은발·백발,단색,갈색,없음
107381,안경,서기,정면,없음,은발·백발,그라데이션,금색,없음
107382,안경,서기,정면,없음,은발·백발,단색,보라,없음
107990,없음,기타,정면,없음,은발·백발,단색,보라,없음
108010,없음,기타,정면,없음,분홍,단색,청색,없음
108020,고글,기타,후면,엉덩이,금발,단색,청색,없음
108021,없음,서기,후면,없음,금발,단색,녹색,없음
108022,없음,앉기·무릎꿇기,정면,없음,금발,단색,청색,동물귀
108030,고글,서기,정면,없음,금발,단색,금색,없음
108031,없음,앉기·무릎꿇기,정면,없음,금발,단색,금색,없음
108032,없음,서기,정면,없음,금발,단색,금색,없음
108040,없음,기타,정면,엉덩이,보라,단색,청색,없음
108041,없음,서기,정면,다리·발,보라,그라데이션,청색,없음
108050,없음,서기,후면,없음,금발,단색,청색,없음
108060,없음,엎드리기,정면,없음,은발·백발,단색,보라,없음
108061,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,보라,없음
108062,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,보라,꼬리
108070,없음,서기,후면,없음,청발,단색,금색,없음
108071,없음,앉기·무릎꿇기,정면,다리·발,청발,그라데이션,금색,없음
108072,없음,기타,정면,없음,청발,단색,금색,없음
108080,고글,앉기·무릎꿇기,정면,없음,보라,단색,보라,없음
